0:0:0:0:0:0:0:1 - - [18/cze/2012:22:28:13 +0200] "GET /?_=1340051293171 HTTP/1.1" 200 0 "http://localhost:7474/webadmin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5"
192.168.2.6 - - [18/cze/2012:22:29:01 +0200] "GET /db/data/ HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:02 +0200] "GET /db/data/node/0/relationships/all HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:02 +0200] "POST /db/data/cypher HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:05 +0200] "POST /db/data/cypher HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/node/0/relationships/in HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/node/0/relationships/out HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/ HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/node/0/properties HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/ HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/node/0/relationships/in HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/node/0/relationships/out HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/node/0/relationships/out HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/node/0/relationships/in HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/node/0/relationships/out HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/ HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/ HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
192.168.2.6 - - [18/cze/2012:22:29:06 +0200] "GET /db/data/node/0/relationships/in HTTP/1.1" 200 0 "-" "Java/1.7.0_04"
